Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords,Index Keywords,Document Type,Publication Stage,Access Type,Source,EID
"Von Frankenberg und Ludwigsdorff N., Peters S., Brügge B., Loftness V., Aziz A.","57188929196;54397732700;6603874399;6701679959;55416064800;","Effective visualization and control of the indoor environmental quality in smart buildings",2016,"CEUR Workshop Proceedings","1559",,,"124","129",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964241006&partnerID=40&md5=a7d86fed9d64550e627d6a5b9b8c6226","Technische Universität München, Department for Applied Software Engineering, Boltzmannstr. 3, Garching b. München, 85748, Germany; Carnegie Mellon University, Center for Building Performance and Diagnostics, 5000 Forbes Ave., Pittsburgh, PA  15213, United States","Von Frankenberg und Ludwigsdorff, N., Technische Universität München, Department for Applied Software Engineering, Boltzmannstr. 3, Garching b. München, 85748, Germany; Peters, S., Technische Universität München, Department for Applied Software Engineering, Boltzmannstr. 3, Garching b. München, 85748, Germany; Brügge, B., Technische Universität München, Department for Applied Software Engineering, Boltzmannstr. 3, Garching b. München, 85748, Germany; Loftness, V., Carnegie Mellon University, Center for Building Performance and Diagnostics, 5000 Forbes Ave., Pittsburgh, PA  15213, United States; Aziz, A., Carnegie Mellon University, Center for Building Performance and Diagnostics, 5000 Forbes Ave., Pittsburgh, PA  15213, United States","Smart environments collect huge amounts of low-level data, but tend to fail to provide this data in an accessible, user-friendly, and meaningful way. Given the amount of time we spend inside buildings, the indoor environmental quality has a strong influence on our productivity and health. We developed the system SmartSpaces that aggregates and visualizes environmental data in a smartphone application. The goal is to provide access to this data such that users can understand and improve the factors that influence their well-being. User interface guidelines for visualizing the environmental quality are proposed. We describe a case study of occupants in a smart building that allows them to access the data. The findings show that usability and transparency increase the users' awareness of the environmental quality. This can lead to a behavioral change and therefore improve the users' health and productivity, and optimize the energy consumption of buildings. © Copyright 2016 for the individual papers by the papers' authors.","Cyber-physical systems; Indoor environmental quality; Internet of things; Mobile application; Smart buildings; Smart environments; Visualization","Buildings; Embedded systems; Energy utilization; Flow visualization; Intelligent buildings; Internet of things; Productivity; User interfaces; Visualization; Behavioral changes; Cyber physical systems (CPSs); Environmental quality; Indoor environmental quality; Mobile applications; Smart environment; Smart-phone applications; User interface guidelines; Software engineering",Conference Paper,"Final",,Scopus,2-s2.0-84964241006
[No author name available],[No author id available],"CEUR Workshop Proceedings",2016,"CEUR Workshop Proceedings","1830",,,"","",264,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019439878&partnerID=40&md5=ab376a45feb5be220e20ffab99dc1074",,"","The proceedings contain 40 papers. The topics discussed include: a review on integration of usability and agile methods in software development practice; enhanced select and test (eST) algorithm: framework for diagnosing and monitoring related ailments; competencies needed by automobile technology teachers towards the development of ICT for teaching-learning purposes; students' perception of online student evaluation of teaching (SET) in Nigeria; development of an Android app for monitoring PMS in gas stations; a framework for pre and post vote cast audit to enhanced electronic voting systems' credibility (PsVCF); big data: a computing model for knowledge extraction on insurgency management; a multilingual translation system for enhancing agricultural eExtension services delivery; SIM cards forensic capability and evaluation of extraction tools; threat modeling of electronic health systems and mitigating countermeasures; securing file on cloud computing system using encryption software: a comparative analysis; a secure method to hide confidential data using cryptography and steganography; an infallible technique for hiding confidential data in compressed video using LSB and RSA algorithm; and online social networks: a survey of usage and risks experience among university students in north-central Nigeria.",,,Conference Review,"Final",,Scopus,2-s2.0-85019439878
"Lindholm C.","22734841200;","Involving user perspective in a software risk management process",2015,"Journal of Software: Evolution and Process","27","12",,"953","975",,2,"10.1002/smr.1753","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955706910&doi=10.1002%2fsmr.1753&partnerID=40&md5=f7a167d527a6522e87a13028dd2254e0","Software Engineering Research Group, Department of Computer Science, Lund University, Faculty of Engineering, Box 118, Lund, 221 00, Sweden","Lindholm, C., Software Engineering Research Group, Department of Computer Science, Lund University, Faculty of Engineering, Box 118, Lund, 221 00, Sweden","More and more user groups are using medical devices. Heart starters are, for example, available in public places and used by non-professionals. Different mobile medical applications, designed to help people manage their own health, are now being added to the medical device spectra. Users handling medical devices make errors, but by involving users in the risk management process, it is possible to lower the risk of these errors. This paper presents an evaluation of the value of complementing a traditional risk management process with an emphasised user perspective. A medical device software risk management framework is being designed, and the risk management process should be regarded as the first part of the framework. The main goal of the evaluated risk management process is to integrate users and user perspective into the risk management process. The results indicate that the use of use cases as input at risk meetings makes the discussions more focused, saving effort and time. When users attend the risk meetings, user perspective and domain knowledge are brought into the process, affecting risk identification and risk assessment. The results also show that the use of usability testing gives valuable input to the risk management process. Copyright © 2015 John Wiley & Sons, Ltd.","medical device development; risk management; software development; usability testing; user perspective","Biomedical equipment; Medical applications; Risk assessment; Risks; Software design; Software engineering; Software testing; Domain knowledge; Medical device development; Medical Devices; Risk Identification; Risk management process; Software risk management; Usability testing; User perspectives; Risk management",Article,"Final",,Scopus,2-s2.0-84955706910
"Tripp O., Pistoia M., Centonze P.","28168059600;7003651042;16237942800;","Application- and User-Sensitive Privacy Enforcement in Mobile Systems",2015,"Proceedings - 2nd ACM International Conference on Mobile Software Engineering and Systems, MOBILESoft 2015",,, 7283058,"162","163",,,"10.1109/MobileSoft.2015.45","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961126062&doi=10.1109%2fMobileSoft.2015.45&partnerID=40&md5=69f76d80daabbb23f1aa37789e696574","IBM T. J. Watson Research Center, Yorktown Heights, NY, United States; Iona College, New Rochelle, NY, United States","Tripp, O., IBM T. J. Watson Research Center, Yorktown Heights, NY, United States; Pistoia, M., IBM T. J. Watson Research Center, Yorktown Heights, NY, United States; Centonze, P., Iona College, New Rochelle, NY, United States","The mobile era is marked by exciting opportunities for utilization of contextual information in computing. Applications from different categories - including commercial and enterprise email, instant messaging, social, banking, insurance and retail - access, process and transmit over the network numerous pieces of sensitive information, such as the user's geographical location, device ID, contacts, calendar events, passwords, and health records, as well as credit-card, social-security, and bank-account numbers. Understanding and managing how an application handles private data is a significant challenge. There are not only multiple sources of such data (including primarily social accounts, user inputs and platform libraries), but also different release targets (such as advertising companies and application servers) and different forms of release (for example, passwords transmitted in the clear, hashed or encrypted). To the end users, and particularly those who are not tech savvy, it is nontrivial to manage these complexities. In response, we have designed Labyrinth, a system for privacy enforcement. The unique features of Labyrinth are (i) an intuitive visual interface for configuration of the privacy policy, which consists of enriched app screen captures annotated with privacy-related information, combined with (ii) a lightweight mechanism to detect and suppress privacy threats that is completely decoupled from the host platform. Labyrinth supports both Android and iOS. In this paper, we describe the Labyrinth architecture and illustrate its flow steps. © 2015 IEEE.","Android; Dynamic Analysis; iOS; Mobile; Privacy; Security; Usable Security","Android (operating system); Authentication; Data privacy; Dynamic analysis; iOS (operating system); Software engineering; Android; Application Servers; Contextual information; Geographical locations; Mobile; Security; Sensitive informations; Usable security; Mobile security",Conference Paper,"Final",,Scopus,2-s2.0-84961126062
"Pistoia M., Tripp O., Centonze P., Ligman J.W.","7003651042;28168059600;16237942800;57118302300;","Labyrinth: Visually Configurable Data-Leakage Detection in Mobile Applications",2015,"Proceedings - IEEE International Conference on Mobile Data Management","1",, 7264333,"279","286",,6,"10.1109/MDM.2015.69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958162937&doi=10.1109%2fMDM.2015.69&partnerID=40&md5=371e1be27ad63fd24f594cc4b8a7e351","IBM T. J. Watson Research Center, Yorktown Heights, NY, United States; Iona College, New Rochelle, NY, United States","Pistoia, M., IBM T. J. Watson Research Center, Yorktown Heights, NY, United States; Tripp, O., IBM T. J. Watson Research Center, Yorktown Heights, NY, United States; Centonze, P., Iona College, New Rochelle, NY, United States; Ligman, J.W., IBM T. J. Watson Research Center, Yorktown Heights, NY, United States","Mobile devices have revolutionized many aspects of our lives. We use smartphones and tablets as portable computers and, often without realizing it, we run various types of security-sensitive programs on them, such as personal and enterprise email and instant-messaging applications, as well as social, banking, insurance and retail programs. These applications access and transmit over the network numerous pieces of private information, including our geographical location, device ID, contacts, calendar events, passwords, and health records, as well as credit-card, social-security, and bank-account numbers. Guaranteeing that no private information is exposed to unauthorized observers is very challenging given the level of complexity that these applications have reached. Furthermore, using program-analysis tools with out-of-the-box configurations in order to detect confidentiality violations may not yield the desired results because only a few pieces of private data, such as the device's ID and geographical location, are obtained from standard sources. The majority of confidentiality sources (such as credit-card and bank-account numbers) are application-specific and require careful configuration. This paper presents Labyrinth, a run-time privacy enforcement system that automatically detects leakage of private data originating from standard as well as application-specific sources. Labyrinth features several novel contributions: (i) it allows for visually configuring, directly atop the application's User Interface (UI), the fields that constitute custom sources of private data, (ii) it does not require operating-system instrumentation, but relies only an application-level instrumentation and on a proxy that intercepts the communication between the mobile device and the back-end servers, and (iii) it performs an enhanced form of value-similarity analysis to detect data leakage even when sensitive data (such as a password) has been encoded or hashed. Labyrinth supports both Android and iOS. We have evaluated Labyrinth experimentally, and in this paper we report results on production-level applications. © 2015 IEEE.","Android; Dynamic Analysis; iOS; Mobile; Privacy; Security; Usable Security","Android (operating system); Application programs; Authentication; Complex networks; Computer aided software engineering; Data privacy; Data visualization; Dynamic analysis; Information management; iOS (operating system); Microcomputers; Mobile devices; Personal computers; User interfaces; Android; Application specific; Geographical locations; Mobile; Private information; Security; Similarity analysis; Usable security; Mobile security",Conference Paper,"Final",,Scopus,2-s2.0-84958162937
"Aljaber T., Gordon N., Kambhampati C., Brayshaw M.","57110382500;56182357300;7003849321;55133968500;","An evaluation framework for mobile health education software",2015,"Proceedings of the 2015 Science and Information Conference, SAI 2015",,, 7237233,"786","790",,4,"10.1109/SAI.2015.7237233","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957837836&doi=10.1109%2fSAI.2015.7237233&partnerID=40&md5=240a23bf531078bd9faba3ba42baff83","Department of Computer Science, University of Hull, Hull, United Kingdom","Aljaber, T., Department of Computer Science, University of Hull, Hull, United Kingdom; Gordon, N., Department of Computer Science, University of Hull, Hull, United Kingdom; Kambhampati, C., Department of Computer Science, University of Hull, Hull, United Kingdom; Brayshaw, M., Department of Computer Science, University of Hull, Hull, United Kingdom","Mobile applications in general, and mobile applications for health education in particular, are commonly used to support patients, health professionals and other stakeholders. A critical evaluation framework is needed to ensure the usability and reliability of mobile applications for health education in order to save time and effort for the various stakeholders. This paper proposes a framework for evaluating mobile applications for health education. The intended outcome is to meet the needs and demands of different stakeholders and provide improvement for software engineering by creating new and more effective ways to evaluate such software. We conclude with some specific evaluation metrics that we applied in our evaluation framework: a hybrid utilizing heuristic evaluation (HE) and usability evaluation (UE). © 2015 IEEE.","Evaluation framework; heuristic evaluation; mobile applications for health education; usability evaluation metrics","Education; Mobile computing; Mobile telecommunication systems; Software engineering; Critical evaluation; Evaluation framework; Evaluation metrics; Health education; Health professionals; Heuristic evaluation; Mobile applications; Usability evaluation; Health",Conference Paper,"Final",,Scopus,2-s2.0-84957837836
"Peischl B., Ferk M., Holzinger A.","6507036919;55931376900;23396282000;","The fine art of user-centered software development",2015,"Software Quality Journal","23","3",,"509","536",,8,"10.1007/s11219-014-9239-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928708378&doi=10.1007%2fs11219-014-9239-1&partnerID=40&md5=599213ca5ed3826f882c9a4c3964e1ec","Void, Softnet Austria, Inffeldgasse 16b/II, Graz, 8010, Austria; FERK Systems, Raiffeisenstrasse 46, Graz, 8010, Austria; Medical University Graz, Auenbruggerplatz 2/V, Graz, 8036, Austria","Peischl, B., Void, Softnet Austria, Inffeldgasse 16b/II, Graz, 8010, Austria; Ferk, M., FERK Systems, Raiffeisenstrasse 46, Graz, 8010, Austria; Holzinger, A., Medical University Graz, Auenbruggerplatz 2/V, Graz, 8036, Austria","In this article, we report on the user-centered development of a mobile medical app under limited resources. We discuss (non-functional) quality attributes that we used to choose the platform for development of the medical app. As the major contribution, we show how to integrate user-centered design in an early stage of mobile app development under the presence of limited resources. Moreover, we present empirical results gained from our two-stage testing procedure including recommendations to provide both a useful and useable business app. © 2014, Springer Science+Business Media New York.","Mobile software quality; Mobile usability; Software engineering process; Usability; User-centered design","Computer software selection and evaluation; Software engineering; User centered design; Mobile softwares; Mobile usability; Non-functional; Quality attributes; Software engineering process; Testing procedure; Usability; User-centered development; Software design",Article,"Final",,Scopus,2-s2.0-84928708378
"Peischl B., Ferk M., Holzinger A.","6507036919;55931376900;23396282000;","Integrating user-centred design in an early stage of mobile medical application prototyping: A case study on data acquistion in health organisations",2015,"ICE-B 2013 - 10th International Conference on E-Business, Part of the ICETE 2013: 10th International Joint Conference on E-Business and Telecommunications, Proceedings",,, 7230637,"","",,1,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957917042&partnerID=40&md5=f416dfb9e72a42ac704366f64fd61750","Softnet Austria, Inffeldgasse 16b/II, Graz, 8010, Austria; FERK Systems GmbH, Raiffeisenstrasse 46, Graz, 8010, Austria; Medical University Graz, Auenbruggerplatz 2/V, Graz, 8036, Austria","Peischl, B., Softnet Austria, Inffeldgasse 16b/II, Graz, 8010, Austria; Ferk, M., FERK Systems GmbH, Raiffeisenstrasse 46, Graz, 8010, Austria; Holzinger, A., Medical University Graz, Auenbruggerplatz 2/V, Graz, 8036, Austria","This paper reports on collaborative work with an SME, developing a system for data acquisition in health care organisations, providing mobile data support. We briefly introduce the ICF and the ICD classification scheme from the WHO as a foundation for our mobile application. A two-staged usability evaluation in a very early stage of development allows us to integrate user-centred design in the mobile application development process. Our procedure comprises interviews and usability tests with a limited number of users and thus can even be performed within a resource-constrained setting as it is typically found in smaller software development teams. We discuss the consolidated results of the usability tests quantitatively and qualitatively. From these results we deduce recommendations (and open issues) concerning the user interface design of the mobile application. © 2013 SCITEPRESS.","Data Acquisition in Healthcare; ICD; ICF; Usability Engineering in SMEs; User-centred Design","Data acquisition; Data visualization; Design; Electronic commerce; Health care; Medical applications; Mobile computing; Mobile telecommunication systems; Software testing; Usability engineering; User centered design; User interfaces; Classification scheme; Collaborative Work; Mobile application development; Mobile applications; Software development teams; Usability evaluation; Usability tests; User interface designs; Software design",Conference Paper,"Final",,Scopus,2-s2.0-84957917042
"Parry D., Carter P., Koziol-Mclain J., Feather J.","7201452470;7201989108;56962768100;15836517700;","A Model for Usability Evaluation for the Development and Implementation of Consumer eHealth Interventions",2015,"Studies in Health Technology and Informatics","216",,,"968","",,,"10.3233/978-1-61499-564-7-968","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84951999223&doi=10.3233%2f978-1-61499-564-7-968&partnerID=40&md5=53f8ab9965161322de709d1e8fdedd8c","School of Computer and Mathematical Science, Auckland University of Technology, Auckland, New Zealand; Faculty of Health and Environmental Sciences, Auckland University of Technology, Auckland, New Zealand","Parry, D., School of Computer and Mathematical Science, Auckland University of Technology, Auckland, New Zealand; Carter, P., School of Computer and Mathematical Science, Auckland University of Technology, Auckland, New Zealand; Koziol-Mclain, J., Faculty of Health and Environmental Sciences, Auckland University of Technology, Auckland, New Zealand; Feather, J., Faculty of Health and Environmental Sciences, Auckland University of Technology, Auckland, New Zealand","Consumer eHealth products are often used by people in their own homes or other settings without dedicated clinical supervision, and often with minimal training and limited support-much as eCommerce and eGovernment applications are currently deployed. Internet based self-care systems have been advocated for over a decade as a way to reduce costs and allow more convenient care, and-because of the expectation that they will be used to reduced health cost -, by increasing self-care and avoiding hospitalization. However, the history of consumer eHealth interventions is mixed, with many unsuccessful implementations. Many consumer eHealth products will form part of a broader complex intervention, with many possible benefits and effects on both individuals and society. This poster describes a model of consumer eHealth assessment based on multiple methods of usability evaluation at different stages in the design and fielding of eHealth systems. We argue that different methods of usability evaluation are able to give valuable insights into the likely effects of an intervention in a way that is congruent with software development processes. © 2015 IMIA and IOS Press.","Consumer eHealth; Evaluation; Usability","Bioinformatics; Software design; Usability engineering; Different stages; E-Government applications; Evaluation; Minimal training; Multiple methods; Software development process; Usability; Usability evaluation; eHealth; clinical supervision; computer program; consumer; expectation; hospitalization; human; Internet; model; self care; telehealth; computer interface; consumer attitude; evaluation study; home care; procedures; standards; telemedicine; Consumer Behavior; Evaluation Studies as Topic; Home Care Services; Humans; Self Care; Telemedicine; User-Computer Interface",Conference Paper,"Final",,Scopus,2-s2.0-84951999223
[No author name available],[No author id available],"Proceedings - 7th International Conference on Advanced Software Engineering and Its Applications, ASEA 2014",2015,"Proceedings - 7th International Conference on Advanced Software Engineering and Its Applications, ASEA 2014",,,,"","",65,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84999309637&partnerID=40&md5=59fbc21e7cacb32eb22363a9386fb39f",,"","The proceedings contain 11 papers. The topics discussed include: model for the effectiveness estimation of simulation-based acquisition by considering the value of modeling and simulation; cost estimation of simulation models for the effectiveness estimation of simulation-based acquisition; current trends in usability evaluation methods: a systematic review; data integration progression in large data source using mapping affinity; the effect of database system application to alleviate chronic obstructive pulmonary disease; a design of efficient medical information system to enhance health behaviors after radical prostatectomy; construction for balanced Boolean function with maximum algebraic immunity; optical illusion effect by histogram analysis; a survey on encryption schemes in wireless sensor networks; a survey on security models, techniques, and tools for the internet of things; and quantitative risk management for communication and information systems: state-of-the-art and challenges.",,,Conference Review,"Final",,Scopus,2-s2.0-84999309637
[No author name available],[No author id available],"12th International Conference on Smart Homes and Health Telematics, ICOST 2014",2015,"Lecture Notes in Computer Science (including subseries Lecture Notes in Artificial Intelligence and Lecture Notes in Bioinformatics)","8456",,,"1","184",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928580567&partnerID=40&md5=72007af7f753bc2457183900be1265c4",,"","The proceedings contain 39 papers. The special focus in this conference is on Design and usability, Assistive and sentient environments, Cognitive technology, Activity recognition, Context and situation awareness and Health IT. The topics include: Designing a multi-sided health and wellbeing platform; design and usability of a smart home sensor data user interface for a clinical and research audience; an innovative way of increasing adoption of social media in older people; agile development for the creation of proper human-computer interfaces for the elderly; testing real-time in-home fall alerts with embedded depth video hyperlink; using smart, interactive tutorials in elderly software development; actimetric tele-surveillance and tailored to the signal data compression; monitoring patient recovery using wireless physiotherapy devices; comparison of two prompting methods in guiding people with traumatic brain injury in cooking tasks; a collaborative patient-carer interface for generating home based rules for self-management; measuring the impact of ICTs on the quality of life of ageing people with mild dementia; implementation in community settings; regression analysis for gesture recognition using RFID technology; improving activity recognition in smart environments with ontological modeling; remote monitoring using smartphone based plantar pressure sensors: unimodal and multimodal activity detection; ontology based context fusion for behavior analysis and prediction; quantifying semantic proximity between contexts; emotion aware system for the elderly; partial sharing of health documents in cloud and biomedical ontology matching as a service.",,,Conference Review,"Final",,Scopus,2-s2.0-84928580567
"Militello L., Borders M., Sushereba C., Diiulio J., Doebbeling B., Imperiale T., Saleem J.","15623600400;57105476900;56584486200;57190620888;7005295736;14628851300;35730510400;","Employing decision-centered design to develop decision support for colorectal cancer screening (extended abstract)",2015,"Proceedings of the Human Factors and Ergonomics Society","2015-January",,,"486","487",,,"10.1177/1541931215591104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84981736209&doi=10.1177%2f1541931215591104&partnerID=40&md5=f064cd568dfe7305a33302e3c35c4ba7","Applied Decision Science, United States; School of Informatics and Computing IUPUI, United States; Indianapolis Roudebush VAMC, United States; University of Louisville, United States","Militello, L., Applied Decision Science, United States; Borders, M., Applied Decision Science, United States; Sushereba, C., Applied Decision Science, United States; Diiulio, J., Applied Decision Science, United States; Doebbeling, B., School of Informatics and Computing IUPUI, United States; Imperiale, T., Indianapolis Roudebush VAMC, United States; Saleem, J., University of Louisville, United States","This paper describes a project employing decision-centered design to develop a decision support application called the Screening & Surveillance App (SSA) to aid primary care providers in tracking and managing colorectal cancer (CRC) screening for their patients. This paper details the path from cognitive task analysis (CTA) to a decision support application. We conducted ethnographic observations and CTA interviews to identify common elements of clinical workflow across health systems and articulate decision requirements. We describe three design iterations that emerged over the course of CTA and software development. Findings from a beta test evaluating the SSA suggest that it saves time, increases accuracy in responding to CRC-related patient-specific questions, and is perceived to reduce workflow as compared to participants' current electronic health records (EHR). Usability and usefulness ratings for the SSA as measured by the Health ITUES were above 4 on a 5-point scale where 5 was most positive. Copyright 2015 Human Factors and Ergonomics Society.",,"Curricula; Decision support systems; Diagnosis; Diseases; Health; Human engineering; Job analysis; Software design; Cognitive task analysis; Colorectal cancers (CRC); Decision support applications; Electronic health record; Ethnographic observations; Extended abstracts; Primary-care providers; Usefulness ratings; Ergonomics",Conference Paper,"Final",,Scopus,2-s2.0-84981736209
"Assefi M., Liu G., Wittie M.P., Izurieta C.","57148139400;56275918600;24451474300;16238582400;","An experimental evaluation of Apple Siri and Google Speech Recognition",2015,"24th International Conference on Software Engineering and Data Engineering, SEDE 2015",,,,"133","139",,9,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84964077740&partnerID=40&md5=7dd8479b9977a5bc5388b7f26c651516","Department of Computer Science, Montana State University, United States","Assefi, M., Department of Computer Science, Montana State University, United States; Liu, G., Department of Computer Science, Montana State University, United States; Wittie, M.P., Department of Computer Science, Montana State University, United States; Izurieta, C., Department of Computer Science, Montana State University, United States","We perform an experimental evaluation of two popular cloud-based speech recognition systems. Cloudbased speech recognition systems enhances Web surfing, transportation, health care, etc. Using voice commands helps drivers stay connected to the Internet by avoiding traffic safety risks. The performance of these type of applications should be robust under difficult network conditions. User frustration with network traffic problems can affect the usability of these applications. We evaluate the performance of two popular cloud-based speech recognition applications, Apple Siri and Google Speech Recognition (GSR) under various network conditions. We evaluate transcription delay and accuracy of transcription of each application under different packet loss and jitter values. Results of our study show that performance of cloud-based speech recognition systems can be affected by jitter and packet loss; which are commonly occurring over WiFi and cellular network connections.","Cloud speech recognition; Quality of experience; Real-time systems; Software measurement; Streaming media","Fruits; Health risks; Interactive computer systems; Jitter; Media streaming; Packet loss; Quality of service; Real time systems; Software engineering; Speech; Transcription; Wi-Fi; Cellular network; Experimental evaluation; Network condition; Network traffic; Quality of experience (QoE); Software Measurement; Speech recognition systems; Streaming media; Speech recognition",Conference Paper,"Final",,Scopus,2-s2.0-84964077740
"Washington P., Kumar M., Tibrewal A., Sabharwal A.","57210675429;56984947500;57189247222;7004350421;","ScaleMed: A methodology for iterative mHealth clinical trials",2015,"2015 17th International Conference on E-Health Networking, Application and Services, HealthCom 2015",,, 7454487,"139","143",,1,"10.1109/HealthCom.2015.7454487","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84966638852&doi=10.1109%2fHealthCom.2015.7454487&partnerID=40&md5=8267ab45865658c6089bde799a76bc4c","Rice University, Houston, TX  77005, United States","Washington, P., Rice University, Houston, TX  77005, United States; Kumar, M., Rice University, Houston, TX  77005, United States; Tibrewal, A., Rice University, Houston, TX  77005, United States; Sabharwal, A., Rice University, Houston, TX  77005, United States","mHealth, which involves using smartphones as a tool for healthcare monitoring and delivery, continues to gain traction worldwide. As a result, new pilot programs and clinical trials continue to be launched to establish clinical evidence. However, the continual need for software changes between iterations of the trial creates a lengthy time loop between clinical researchers requesting a change and software developers implementing the requested change. We propose a new methodology for performing clinical trials, called ScaleMed. The ScaleMed methodology involves decoupling low-level app functionality from high-level trial-related operational parameters, a common software development practice. By utilizing a centralized website that allows clinical researchers to rapidly update these trial parameters, iterative clinical trials have the potential to move at a much faster rate than in current practice. We demonstrate an example of the ScaleMed methodology applied to an ongoing mental health trial (codenamed Lucy). In addition, we conducted a separate trial on the usability of the ScaleMed-enabled Lucy platform and found a predominantly positive response from the potential clinical users. In our limited trials, we showed that the time to make changes to app parameters was cut from weeks to less than a minute. © 2015 IEEE.",,"Application programs; mHealth; Software design; Clinical researchers; Common software; Current practices; Healthcare monitoring; Operational parameters; Pilot programs; Software change; Software developer; Iterative methods",Conference Paper,"Final",,Scopus,2-s2.0-84966638852
"Hastings J., Haug K., Steinbeck C.","23477243500;35344695800;7003655166;","Ten recommendations for software engineering in research",2014,"GigaScience","3","1", 31,"","",,4,"10.1186/2047-217X-3-31","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945497739&doi=10.1186%2f2047-217X-3-31&partnerID=40&md5=d3e70442a64b210aacf89a5b81eb3884","Cheminformatics and Metabolism, European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, CB10 1SD, United Kingdom","Hastings, J., Cheminformatics and Metabolism, European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, CB10 1SD, United Kingdom; Haug, K., Cheminformatics and Metabolism, European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, CB10 1SD, United Kingdom; Steinbeck, C., Cheminformatics and Metabolism, European Molecular Biology Laboratory - European Bioinformatics Institute, Wellcome Trust Genome Campus, Hinxton, CB10 1SD, United Kingdom","Research in the context of data-driven science requires a backbone of well-written software, but scientific researchers are typically not trained at length in software engineering, the principles for creating better software products. To address this gap, in particular for young researchers new to programming, we give ten recommendations to ensure the usability, sustainability and practicality of research software. © 2014 Hastings et al.; licensee BioMed Central Ltd.","Best practices; Software engineering","application programming interface; codebase; computer interface; computer language; computer program; data base; documentation; engineering; evolution; information processing; medical research; modular design; Note; priority journal; process optimization; quality control; research software; scientist; software engineering",Note,"Final",Open Access,Scopus,2-s2.0-84945497739
"Van Genuchten M., Mans R., Reijers H., Wismeijer D.","7005960317;23100144700;6603060277;6701657350;","Is your upgrade worth it? process mining can tell",2014,"IEEE Software","31","5", 6728931,"94","100",,5,"10.1109/MS.2014.20","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907448668&doi=10.1109%2fMS.2014.20&partnerID=40&md5=c1ded2d2fd79e0a213cddf7bc971242d","VitalHealth Software, Netherlands; Eindhoven University of Technology, Netherlands; VU University Amsterdam, Netherlands; ACTA Amsterdam, Netherlands","Van Genuchten, M., VitalHealth Software, Netherlands; Mans, R., Eindhoven University of Technology, Netherlands; Reijers, H., VU University Amsterdam, Netherlands; Wismeijer, D., ACTA Amsterdam, Netherlands","[CDATA[Software vendors typically release updates and upgrades of their software once or twice a year. Users are then faced with the question of whether the upgrade is worth the price and the trouble. The software industry doesn't provide much evidence that it's worthwhile to upgrade to new releases. The authors propose the use of process mining to prove that upgrading to the next release provides quantifiable benefits to the end user. Process mining capitalizes on the fact that event logs capture information about processes. These events can be used to make processes visible and show the benefits of using a software product's next release. Three groups benefits from this process: end users, software suppliers, and researchers. The authors applied process mining to a medical software product and captured empirical data from 1,400 cases. The data shows that the new version was 11 percent more efficient than the old release.]]. © 2014 IEEE.",,"Data mining; Software engineering; Medical computing; Empirical data; Event logs; Medical software; Process mining; Software industry; Software products; Software suppliers; Software vendors; Software Measurement; Usability; Medical computing; Data mining",Article,"Final",,Scopus,2-s2.0-84907448668
